#{"t_start": 1686314906.9375455, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
410.0,2461,3.256988
210.0,3041,3.976028
135.0,1703,4.376926
135.0,2033,4.850521
185.0,2731,5.508042
105.0,1869,5.956373
75.0,1287,6.262366
120.0,2035,6.740556
220.0,3117,7.485482
120.0,2177,7.999656
45.0,1665,8.397496
155.0,1893,8.854217
160.0,1927,9.377829
50.0,1785,9.808156
215.0,3061,10.530676
155.0,1935,10.989246
80.0,1495,11.347898
120.0,1791,11.788923
105.0,1813,12.222218
55.0,1779,12.648546
120.0,1997,13.120459
105.0,1523,13.486303
210.0,2319,14.041285
95.0,1579,14.418371
225.0,2857,15.093227
90.0,1599,15.480184
105.0,1913,15.939998
135.0,1869,16.392918
110.0,1731,16.806741
105.0,1525,17.171494
530.0,3575,18.012504
215.0,2591,18.623204
160.0,2533,19.223441
485.0,2639,19.844768
85.0,1961,20.313611
135.0,1965,20.785731
35.0,1221,21.085289
105.0,2123,21.599029
135.0,2281,22.143323
120.0,2119,22.655043
195.0,2745,23.629929
240.0,2869,24.339799
185.0,2347,24.901195
110.0,1517,25.261702
115.0,1355,25.591082
65.0,2191,26.116256
80.0,1833,26.557737
205.0,2151,27.070413
210.0,2521,33.067277
75.0,1743,33.488061
150.0,2231,34.026619
75.0,1147,34.306352
285.0,2545,34.913059
90.0,2503,35.518012
25.0,1021,35.767621
50.0,1589,36.15383
170.0,2141,36.669182
170.0,2289,37.220985
95.0,1835,37.665085
110.0,2125,38.179446
125.0,1497,38.540411
135.0,1893,38.999944
45.0,1587,39.384506
120.0,2215,39.919315
215.0,2529,40.527602
105.0,1909,40.991395
50.0,1657,41.392445
85.0,1413,41.734315
35.0,1269,42.043205
110.0,1863,42.494113
85.0,1901,42.955059
15.0,1663,43.361914
110.0,1983,43.843719
180.0,2341,44.408082
95.0,2369,44.983167
110.0,1971,45.459634
125.0,1647,45.860775
150.0,3019,46.586395
130.0,1313,46.905895
80.0,1453,47.259614
160.0,2263,47.831867
55.0,1847,48.523265
100.0,1759,49.024703
400.0,2719,49.679941
75.0,1479,50.04003
270.0,2629,50.667328
105.0,1815,51.109503
315.0,3105,51.85011
110.0,1865,52.303112
180.0,2071,52.80129
115.0,2327,53.363775
55.0,1075,53.624984
90.0,1777,54.057562
245.0,2515,54.66111
180.0,2175,55.18848
110.0,2079,55.690744
210.0,2055,56.187472
125.0,2045,56.68286
110.0,1855,57.135473
110.0,1731,57.55644
160.0,2047,62.166109
65.0,1157,62.451274
120.0,1855,62.906387
270.0,3127,63.662672
155.0,2071,64.175109
315.0,2803,64.852644
135.0,3279,65.649777
30.0,1193,65.943419
210.0,2663,66.58781
135.0,1939,67.065738
210.0,2693,67.722473
205.0,2403,68.309457
190.0,2119,68.849638
225.0,2847,69.859952
355.0,3097,70.590363
135.0,2721,71.254905
80.0,1545,71.638
235.0,3623,72.51761
30.0,1903,72.988174
55.0,1941,73.465836
155.0,2733,74.134114
125.0,1895,74.601604
105.0,1621,74.99995
770.0,3241,75.787767
110.0,1877,76.250277
80.0,1495,76.622434
135.0,2229,77.170181
140.0,1911,77.641597
150.0,2253,78.194324
105.0,1939,78.672662
345.0,2429,79.267186
50.0,1137,79.550325
80.0,1855,80.007689
130.0,2015,80.506936
310.0,2994,81.235026
120.0,2097,81.753568
105.0,2041,82.255861
155.0,2237,82.805176
150.0,1845,83.261906
80.0,1155,83.54862
215.0,2159,84.081776
240.0,3265,84.88217
180.0,1901,85.352076
105.0,1821,85.803617
135.0,2223,86.351256
70.0,1183,86.646443
120.0,1947,87.128886
110.0,2039,93.404243
30.0,1535,93.785067
645.0,4477,94.866794
35.0,1123,95.146244
110.0,2215,95.69927
90.0,1457,96.067179
20.0,1491,96.442551
110.0,1779,96.887506
110.0,1175,97.178983
180.0,1807,97.62574
100.0,1925,98.10269
110.0,1981,98.595289
80.0,2049,99.105147
80.0,1501,99.480025
365.0,2977,100.217275
135.0,2059,100.73107
150.0,2141,101.262529
160.0,2437,101.872983
80.0,2133,102.407678
215.0,2545,103.038973
80.0,1301,103.363888
105.0,1951,103.850878
75.0,1907,104.328528
65.0,1941,104.81507
65.0,1155,105.105904
180.0,2223,105.656404
370.0,2415,106.260802
140.0,2073,106.781695
110.0,1155,107.075636
15.0,1023,107.340876
45.0,1487,107.716894
135.0,1723,108.148769
35.0,1621,108.563756
240.0,4381,109.640252
105.0,1883,110.117938
145.0,2473,110.735403
155.0,2623,111.387688
0.0,1689,111.815101
120.0,1791,112.265717
75.0,1183,112.563427
80.0,1565,113.014108
95.0,1145,113.440707
85.0,1055,113.835539
485.0,3273,114.628043
135.0,1891,115.103658
120.0,1981,115.595968
80.0,1621,116.00281
220.0,2485,116.61921
80.0,1797,117.072562
5.0,1513,117.453357
35.0,1213,117.759012
185.0,1865,118.22607
260.0,2789,118.913571
25.0,2681,124.791677
135.0,1975,126.347875
20.0,1269,127.363366
165.0,1961,129.005295
325.0,2405,130.994221
45.0,1915,132.59516
155.0,2805,134.930449
290.0,3377,137.730642
100.0,2009,139.383445
130.0,1879,140.933891
320.0,4439,144.681928
285.0,3541,147.928296
350.0,3663,150.932626
515.0,4639,154.870798
45.0,1419,156.147886
135.0,2077,157.933438
205.0,2983,160.441934
375.0,2981,162.965464
120.0,1953,164.588529
500.0,4788,168.618338
120.0,2049,170.361485
455.0,4533,174.167071
80.0,1873,175.958529
110.0,1957,177.634724
75.0,2709,180.033667
230.0,2833,182.45728
135.0,2537,184.626974
210.0,2841,187.072304
490.0,3303,190.006008
220.0,2099,191.878514
20.0,2097,193.753201
200.0,3211,196.560035
180.0,2015,198.38857
355.0,4025,202.004142
530.0,3175,204.923506
15.0,1519,206.35218
365.0,4295,210.386331
200.0,1675,216.817606
240.0,2763,219.316728
250.0,3229,222.371521
120.0,3091,225.087533
110.0,2105,226.993744
175.0,2937,229.867535
115.0,1601,231.364529
255.0,2973,234.179908
630.0,4185,237.985035
205.0,2259,240.154556
240.0,2741,242.669733
115.0,1985,244.543097
235.0,2207,247.004007
95.0,2051,248.933228
135.0,1565,250.488116
155.0,1943,252.472478
195.0,2071,254.490208
190.0,3237,257.47736
110.0,1875,259.216567
195.0,2017,261.102619
345.0,2839,263.981049
115.0,1895,265.812387
365.0,5085,270.920044
85.0,2175,273.070325
290.0,2923,276.072993
315.0,3121,279.16565
395.0,3301,282.495508
395.0,3279,285.643979
315.0,3237,288.918398
205.0,2629,291.566252
110.0,2051,293.955368
240.0,2527,296.903584
190.0,3419,300.705213
225.0,3229,304.400717
200.0,2747,307.082203
135.0,1819,308.827154
135.0,2799,311.499155
335.0,2399,313.756491
210.0,2355,321.22299
285.0,2151,323.207905
465.0,3707,326.690806
280.0,2539,329.112267
160.0,1851,330.777315
210.0,1913,332.54181
190.0,1959,334.275723
105.0,1459,335.577258
90.0,1481,337.024081
205.0,2471,339.584943
185.0,2419,341.951905
155.0,1901,343.7579
75.0,1531,345.310119
150.0,3433,348.760556
210.0,2505,351.27696
350.0,3217,354.459421
120.0,2499,356.903873
200.0,1977,358.756512
180.0,1887,360.542392
305.0,2481,362.925481
70.0,1981,364.893357
210.0,1357,366.207721
75.0,1937,368.069842
120.0,2757,370.758128
235.0,3309,374.146379
180.0,1905,375.969415
105.0,2153,378.025419
185.0,2131,380.023265
170.0,1927,381.854069
145.0,1971,383.789607
370.0,4459,388.141249
105.0,2067,390.181466
255.0,4919,395.091623
115.0,1777,397.082759
180.0,2535,399.665038
255.0,2383,401.994263
225.0,3361,405.595698
200.0,2405,407.976503
160.0,1997,409.932798
110.0,1957,411.86695
370.0,3503,415.387295
220.0,3009,418.346078
285.0,2991,428.94269
305.0,2629,431.332219
160.0,1981,433.14886
265.0,2853,435.743419
95.0,1909,437.498124
230.0,1961,439.268308
160.0,2005,441.104034
110.0,1781,442.728073
270.0,2639,445.330287
185.0,1997,447.169405
205.0,2977,449.886877
180.0,1913,451.640415
115.0,1687,453.175361
205.0,2471,455.427433
185.0,1919,457.175972
320.0,2997,459.953977
435.0,4017,463.636659
165.0,1923,465.420968
200.0,1443,466.775078
300.0,3865,470.410213
135.0,2009,472.386828
245.0,1665,473.888728
200.0,2023,475.767632
170.0,2021,477.656437
275.0,2411,479.889097
70.0,1473,481.24175
285.0,3195,484.239876
230.0,2995,487.087058
360.0,3855,490.769753
160.0,1873,492.541723
85.0,1501,494.086166
80.0,1561,495.565792
125.0,1787,497.268592
140.0,2153,499.339668
115.0,1185,500.498957
260.0,2683,503.115798
400.0,2189,505.197055
435.0,2495,507.565585
145.0,1665,509.144876
215.0,2597,511.610072
265.0,3279,514.727695
240.0,4857,519.475501
175.0,1873,521.262508
325.0,2989,524.180657
320.0,3295,534.198197
150.0,1969,536.036839
195.0,1857,537.784372
80.0,1243,538.946033
180.0,2227,541.178671
155.0,1893,542.859024
75.0,1173,543.880448
600.0,4021,547.512897
105.0,1579,548.961314
165.0,1819,550.631342
375.0,3129,553.747957
40.0,1507,555.247025
85.0,1663,556.891083
485.0,3661,560.638926
285.0,2887,563.708843
270.0,2003,565.940342
315.0,3937,570.521243
210.0,2449,573.14264
350.0,2723,575.664235
200.0,2743,578.332778
435.0,3699,581.954013
215.0,2139,583.97661
120.0,1613,585.474256
85.0,1811,587.15206
180.0,1911,589.267484
155.0,1573,590.910635
395.0,3997,594.736582
395.0,4007,598.418289
210.0,1985,600.240263
180.0,3411,603.553176
305.0,4171,607.835427
115.0,1465,609.166214
225.0,2783,611.781834
120.0,1115,612.884673
245.0,2711,615.374278
140.0,2107,617.302822
235.0,2073,619.244298
325.0,2519,621.658085
265.0,2451,623.902441
235.0,1953,625.688341
220.0,2425,627.90643
80.0,1473,629.249825
105.0,2061,638.018101
335.0,2873,640.821717
550.0,3493,644.040404
180.0,2007,645.898475
195.0,2887,648.546394
155.0,1259,649.674424
75.0,1179,650.737221
120.0,1879,652.495759
400.0,2813,655.132418
530.0,3831,658.711431
125.0,1555,660.133812
470.0,4965,664.822293
215.0,2349,667.045801
415.0,3862,670.728041
80.0,1075,671.714828
295.0,2659,674.167203
485.0,2207,676.229968
105.0,1939,678.02859
155.0,1613,679.674882
365.0,3563,682.975347
165.0,2171,684.99627
270.0,2477,687.29596
575.0,3853,690.872421
235.0,2481,693.18567
260.0,3063,696.185609
115.0,1383,697.456644
215.0,1851,699.225404
335.0,3261,702.412545
115.0,1179,703.548775
175.0,1673,705.184568
125.0,1703,706.901173
225.0,2015,709.165252
520.0,2671,711.92716
545.0,4277,716.498008
200.0,2411,719.292034
165.0,1625,721.172905
575.0,4103,725.852888
90.0,1997,728.197666
460.0,2853,731.728487
185.0,2071,733.773672
410.0,2507,736.258927
490.0,3443,745.658152
345.0,3449,749.299359
145.0,1697,751.318327
410.0,3119,754.985865
380.0,3363,759.051268
260.0,2335,761.610632
350.0,2779,764.594223
245.0,2533,767.171075
310.0,3051,770.215436
520.0,3169,773.543373
700.0,3795,777.303805
180.0,1977,779.363597
170.0,2015,781.549506
205.0,2525,784.262525
195.0,2725,787.025058
295.0,2067,789.0692
290.0,3565,792.56127
250.0,1967,794.519244
135.0,1691,796.183286
160.0,2845,799.004651
315.0,2403,801.421315
425.0,3063,804.654606
260.0,2069,807.111262
440.0,5699,813.084239
255.0,1823,814.997884
440.0,4958,820.368278
685.0,4915,825.366043
245.0,2259,827.587677
230.0,2441,830.079722
75.0,1539,831.746512
275.0,2997,834.981228
335.0,3249,838.193075
260.0,2735,841.01072
80.0,1859,843.035648
170.0,2047,845.073148
130.0,1979,847.046999
375.0,2905,855.182169
320.0,3279,858.52993
505.0,2860,861.364404
170.0,2777,864.082495
75.0,1453,865.483907
350.0,2745,868.21612
225.0,1899,870.176383
215.0,1851,872.032821
230.0,2285,874.302636
285.0,3043,877.38083
415.0,3031,880.488426
540.0,4285,885.008767
405.0,3173,888.233446
155.0,1871,890.086637
440.0,3727,893.751659
375.0,3555,897.266801
280.0,2865,900.077497
275.0,3023,903.061345
295.0,3173,906.177137
165.0,2883,909.08129
570.0,4729,913.772978
175.0,2939,916.687424
195.0,1975,918.649519
200.0,2769,921.491428
430.0,3353,924.956128
190.0,1871,926.885015
545.0,5153,932.39469
125.0,1905,934.711875
130.0,1489,936.471007
135.0,1659,938.344807
55.0,1413,939.791703
455.0,3689,943.408749
180.0,1525,944.901476
425.0,4179,948.996454
245.0,3125,952.054827
560.0,3121,955.072078
290.0,3207,966.502947
505.0,2757,969.154823
250.0,3361,972.35447
205.0,1913,974.213549
570.0,3885,977.865434
135.0,1903,979.706906
250.0,2621,982.221262
495.0,3523,985.539433
90.0,2029,987.462033
300.0,2886,990.352658
180.0,1967,992.21762
190.0,1985,994.101318
205.0,2911,996.890104
115.0,2073,998.855496
110.0,1653,1000.425125
155.0,2305,1002.614743
215.0,2849,1005.271883
290.0,2693,1007.763032
190.0,1977,1009.61245
365.0,3853,1013.351215
100.0,1845,1015.151149
105.0,1943,1017.003986
505.0,3899,1020.657829
155.0,1443,1022.013572
335.0,3108,1024.9064
160.0,1863,1026.62114
90.0,1435,1027.927729
40.0,1939,1029.717791
305.0,3331,1032.814809
470.0,2757,1035.357909
130.0,1781,1037.024448
60.0,1755,1038.767278
185.0,2589,1041.225525
185.0,2021,1043.140052
140.0,1581,1044.63366
50.0,1175,1045.736328
440.0,2875,1048.474307
95.0,1327,1049.706864
100.0,1583,1051.186799
105.0,1645,1052.719607
170.0,1967,1054.575826
25.0,1551,1056.102301
55.0,1371,1057.413955
75.0,1487,1058.82499
255.0,2379,1061.216507
475.0,3681,1069.270719
140.0,1785,1070.944231
155.0,1791,1072.582735
150.0,1937,1074.356073
145.0,2223,1076.410908
305.0,2523,1078.738559
85.0,1465,1080.090495
50.0,1851,1081.809623
345.0,2531,1084.167529
225.0,2037,1086.23043
175.0,1845,1087.916906
245.0,3067,1090.750068
195.0,1909,1092.486787
195.0,1977,1094.295466
270.0,2627,1096.767571
550.0,3049,1099.607697
415.0,3297,1102.726156
365.0,2665,1105.277977
100.0,1029,1106.244827
225.0,2217,1108.479466
410.0,2979,1111.329073
210.0,2061,1113.298328
130.0,2009,1115.227209
130.0,1911,1117.052855
520.0,3259,1120.140885
260.0,2391,1122.420207
400.0,2529,1124.804595
340.0,2580,1127.274041
215.0,2311,1129.583322
270.0,2679,1132.114226
135.0,1345,1133.364244
230.0,2683,1135.910178
150.0,3131,1138.861014
160.0,2171,1140.908088
200.0,1935,1142.660143
110.0,1957,1144.441904
270.0,2165,1146.401179
50.0,1313,1147.601415
330.0,2671,1150.043799
350.0,2869,1152.815747
225.0,3299,1155.874966
360.0,2793,1158.428618
370.0,2705,1160.899671
220.0,1803,1162.541368
335.0,2809,1171.157834
270.0,2527,1173.417904
445.0,4817,1177.902317
215.0,1931,1179.633433
135.0,1671,1181.131519
350.0,2757,1183.623877
165.0,2311,1185.721346
400.0,3221,1188.63437
155.0,1733,1190.234241
260.0,2125,1192.151035
210.0,2451,1194.37698
260.0,2415,1196.570152
285.0,2903,1199.226374
155.0,2619,1201.623994
180.0,1731,1203.241854
370.0,2665,1205.776358
465.0,3055,1208.563706
80.0,1311,1209.754209
210.0,1595,1211.201678
200.0,2365,1213.364707
230.0,1997,1215.17599
530.0,2919,1217.832346
410.0,2575,1220.205179
165.0,1523,1221.593827
130.0,1501,1222.94743
440.0,3417,1226.139651
260.0,2965,1229.042167
110.0,1615,1230.520314
235.0,2417,1232.728873
150.0,2121,1234.668763
305.0,3473,1237.833998
190.0,1401,1239.119016
410.0,2779,1241.643064
320.0,2811,1244.274979
325.0,3285,1247.366084
670.0,3083,1250.297825
240.0,2681,1252.9043
435.0,3415,1256.095412
265.0,3201,1259.151441
225.0,1699,1260.74827
705.0,3671,1269.160751
240.0,2337,1271.524938
80.0,1121,1272.748078
250.0,1883,1274.82005
415.0,3971,1278.908728
265.0,2357,1281.210434
455.0,2721,1283.845128
140.0,1885,1285.668297
545.0,3425,1288.946378
545.0,4033,1292.808536
395.0,3345,1295.95328
50.0,1577,1297.407622
320.0,2339,1299.702883
265.0,2095,1301.647631
405.0,3350,1304.727154
220.0,2289,1306.84182
460.0,3939,1310.474441
415.0,2763,1313.021976
525.0,2597,1315.431545
265.0,2595,1317.837247
680.0,4759,1322.203458
245.0,2159,1324.203646
150.0,1933,1326.104786
305.0,2419,1328.320289
230.0,2941,1331.05186
420.0,3413,1334.205455
310.0,3194,1337.157641
300.0,2927,1339.859916
375.0,3907,1343.462958
395.0,3457,1346.636524
230.0,2351,1348.927295
365.0,3815,1352.454482
680.0,5005,1357.064692
115.0,1925,1358.83329
290.0,3165,1361.744334
485.0,4647,1374.374555
220.0,2589,1376.798786
405.0,2847,1379.4362
340.0,3492,1382.632067
210.0,2587,1384.982671
390.0,2935,1387.683511
370.0,2829,1390.30447
310.0,3311,1393.369991
215.0,2053,1395.339713
175.0,2025,1397.284038
455.0,3791,1400.968452
300.0,3143,1403.907427
195.0,2537,1406.265289
320.0,2940,1408.992157
410.0,3299,1412.037822
195.0,2775,1414.614664
450.0,3821,1418.146036
255.0,2249,1420.226609
300.0,3348,1423.353823
295.0,3219,1426.483179
365.0,2679,1428.963459
